year,discipline,subjects,totalA,oneA,overA,totalB,oneB,overB,note
"2026","哲学","各学科专业","326","41","62","316","38","57","①A类考生：报考地处一区（北京、天津、河北、山西、辽宁、吉林、黑龙江、上海、江苏、浙江、安徽、福建、江西、山东、河南、湖北、湖南、广东、重庆、四川、陕西等21省市）招生单位的考生。②B类考生：报考地处二区（内蒙古、广西、海南、贵州、云南、西藏、甘肃、青海、宁夏、新疆等10省区）招生单位的考生。③报考“少数民族高层次骨干人才计划”考生进入复试的初试成绩基本要求：A类、B类考生均执行本表确定的总分要求，单科要求由招生单位自主确定。④享受少数民族照顾政策考生：报考地处二区招生单位且毕业后在国务院公布的民族区域自治地方定向就业的少数民族普通高校应届本科毕业生考生；或者工作单位和户籍在国务院公布的民族区域自治地方，且定向就业单位为原单位的少数民族在职人员考生。该类考生进入复试的初试成绩基本要求：A类、B类考生总分要求均执行本表确定的总分要求，单科要求均为30分（满分＝100分）、45分（满分＞100分）。⑤工学照顾专业：力学[0801]、冶金工程[0806]、动力工程及工程热物理[0807]、水利工程[0815]、地质资源与地质工程[0818]、矿业工程["
"2026","经济学","各学科专业","324","40","60","314","37","56",""
"2026","法学","各学科专业","321","40","60","311","37","56",""
"2026","教育学","体育学[0403]、体育[0452]","310","38","114","300","35","105",""
"2026","教育、国际中文教育","各学科专业","347","48","72","337","45","68",""
"2026","教育学（其他学科专业）","各学科专业","347","48","144","337","45","135",""
"2026","文学","各学科专业","354","48","72","344","45","68",""
"2026","历史学","各学科专业","341","45","135","331","42","126",""
"2026","理学","各学科专业","275","35","53","265","32","48",""
"2026","工学","工学照顾专业⑤","251","33","50","241","30","45",""
"2026","工学（其他学科专业）","各学科专业","264","35","53","254","32","48",""
"2026","农学","各学科专业","240","33","50","230","30","45",""
"2026","医学","各学科专业","294","36","108","284","33","99",""
"2026","军事学","各学科专业","260","34","51","250","31","47",""
"2026","管理学","工商管理[1251]","146","35","70","136","30","60",""
"2026","公共管理","各学科专业","168","39","78","158","34","68",""
"2026","会计、图书情报、审计","各学科专业","199","51","102","189","46","92",""
"2026","旅游管理","各学科专业","151","35","70","141","30","60",""
"2026","工程管理","各学科专业","166","39","78","156","34","68",""
"2026","管理学（其他学科专业）","各学科专业","332","41","62","322","38","57",""
"2026","艺术学","各学科专业","354","38","57","344","35","53",""
"2026","交叉学科","各学科专业","266","35","53","256","32","48",""
"2025","哲学","各学科专业","321","39","59","311","36","54","①A类考生：报考地处一区（北京、天津、河北、山西、辽宁、吉林、黑龙江、上海、江苏、浙江、安徽、福建、江西、山东、河南、湖北、湖南、广东、重庆、四川、陕西等21省市）招生单位的考生。②B类考生：报考地处二区（内蒙古、广西、海南、贵州、云南、西藏、甘肃、青海、宁夏、新疆等10省区）招生单位的考生。③工学照顾专业：力学[0801]、冶金工程[0806]、动力工程及工程热物理[0807]、水利工程[0815]、地质资源与地质工程[0818]、矿业工程[0819]、船舶与海洋工程[0824]、航空宇航科学与技术[0825]、兵器科学与技术[0826]、核科学与技术[0827]、农业工程[0828]。④报考临床医学类专业学位（即临床医学[1051]、口腔医学[1052]、中医[1057]）考生进入复试的初试成绩要求，由招生单位自主确定并公布。另外，招生单位自主确定并公布本单位接受报考其他单位临床医学类专业学位硕士研究生调剂的成绩要求。教育部划定的临床医学类专业学位硕士研究生初试成绩基本要求供招生单位参考，同时作为报考临床医学类专业学位硕士研究生的考生调剂到其"
"2025","经济学","各学科专业","323","40","60","313","37","56",""
"2025","法学","各学科专业","323","40","60","313","37","56",""
"2025","教育学","体育学[0403]、体育[0452]","304","36","108","294","33","99",""
"2025","教育、国际中文教育","各学科专业","341","45","68","331","42","63",""
"2025","教育学（其他学科专业）","各学科专业","341","45","135","331","42","126",""
"2025","文学","各学科专业","351","47","71","341","44","66",""
"2025","历史学","各学科专业","336","43","129","326","40","120",""
"2025","理学","各学科专业","274","34","51","264","31","47",""
"2025","工学","工学照顾专业③","251","33","50","241","30","45",""
"2025","工学（其他学科专业）","各学科专业","260","34","51","250","31","47",""
"2025","农学","各学科专业","245","33","50","235","30","45",""
"2025","医学","各学科专业","293","36","108","283","33","99",""
"2025","军事学","各学科专业","260","34","51","250","31","47",""
"2025","管理学","工商管理[1251]、旅游管理[1254]","151","35","70","141","30","60",""
"2025","公共管理","各学科专业","164","38","76","154","33","66",""
"2025","会计、审计","各学科专业","194","48","96","184","43","86",""
"2025","图书情报","各学科专业","191","48","96","181","43","86",""
"2025","工程管理","各学科专业","162","38","76","152","33","66",""
"2025","管理学（其他学科专业）","各学科专业","333","41","62","323","38","57",""
"2025","艺术学","各学科专业","351","37","56","341","34","51",""
"2025","交叉学科","各学科专业","266","34","51","256","31","47",""
